id,nb_classes,nb_units,nb_steps,nb_samples,dim_manifold,alpha,filename
0,2,3,50,1000,1,3,10960a24dd864320b734d5b36e449df3.pt
1,5,3,50,1000,1,3,1985f682295e437e823c5680f80466d4.pt
2,2,10,50,1000,1,3,0b5a66b1aea342bfbf8db45e40b1601b.pt
3,2,3,50,1000,1,1,13b0e85872024155931ea17bbc41809f.pt
4,2,3,50,1000,2,3,7e854d96228346c8ae28195e5bcbad44.pt
